artist,song,year,decade,genre,popularity,danceability,energy,valence,tempo,loudness_norm,hit_formula_score
Silentó,Watch Me (Whip / Nae Nae),2015,2010s,hip hop,0,0.819,0.768,0.964,139.982,0.5925486708172744,0.7894
The Chainsmokers,#SELFIE - Original Mix,2014,2010s,"pop, Dance/Electronic",0,0.789,0.915,0.66,127.955,0.8524063642652435,0.7893
Enrique Iglesias,DUELE EL CORAZON (feat. Wisin),2016,2010s,"pop, latin",68,0.716,0.908,0.869,91.03,0.8528510722403398,0.789
MARINA,How to Be a Heartbreaker,2012,2010s,"pop, Dance/Electronic",50,0.69,0.897,0.849,140.05,0.7815989722304576,0.7883
One Direction,What Makes You Beautiful,2012,2010s,pop,82,0.726,0.787,0.888,124.99,0.8904041901373654,0.7882
*NSYNC,It's Gonna Be Me,2000,2000s,pop,60,0.644,0.874,0.882,165.09,0.7830813321474454,0.7881
JAY-Z,Ni**as In Paris,2011,2010s,hip hop,82,0.789,0.858,0.775,140.022,0.7397964225714003,0.7872
Gwen Stefani,What You Waiting For?,2004,2000s,"pop, R&B",60,0.676,0.948,0.731,136.027,0.8872912343116909,0.7871
Daddy Yankee,Dura,2018,2010s,latin,71,0.783,0.84,0.839,95.001,0.8448463286886055,0.7869
Normani,Motivation,2019,2010s,"pop, R&B",71,0.599,0.887,0.881,170.918,0.8176203182132622,0.7858
Amerie,1 Thing,2008,2000s,"hip hop, pop, R&B",52,0.636,0.946,0.891,125.085,0.7822413281944857,0.7854
Natti Natasha,Criminal,2017,2010s,"pop, latin",74,0.814,0.813,0.839,79.997,0.8642652436011463,0.7849
Dizzee Rascal,Dance Wiv Me - Radio Edit,2011,2010s,"hip hop, pop, Dance/Electronic",68,0.878,0.746,0.792,111.996,0.8021049510821228,0.7846
Britney Spears,Overprotected - Radio Edit,2001,2000s,pop,61,0.682,0.894,0.845,95.992,0.9281549560233224,0.7843
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),2012,2010s,"hip hop, pop",81,0.641,0.922,0.847,146.078,0.7934084395691273,0.7843
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),2009,2000s,pop,71,0.753,0.931,0.767,113.029,0.7704318608558157,0.7841
Mary Mary,Shackles (Praise You),2000,2000s,R&B,64,0.779,0.834,0.8,100.46,0.8766182429093784,0.7839
Jonas Brothers,Burnin' Up,2008,2000s,pop,68,0.667,0.954,0.807,114.03,0.842573376815891,0.7834
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,2003,2000s,pop,59,0.804,0.836,0.85,120.046,0.6857891095958099,0.7831
Katy Perry,Hot N Cold,2008,2000s,pop,73,0.706,0.841,0.861,132.032,0.8181638501828244,0.783
Black Eyed Peas,Let's Get It Started - Spike Mix,2004,2000s,"hip hop, pop",53,0.785,0.799,0.797,104.923,0.9045360213459827,0.7828
Nelly,Hey Porsche,2013,2010s,"hip hop, pop, R&B",57,0.726,0.795,0.952,115.995,0.7837236881114735,0.7825
3OH!3,My First Kiss (feat. Ke$ha),2010,2010s,"hip hop, pop, rock",62,0.682,0.889,0.827,138.021,0.8077873307639094,0.7824
Nas,I Can,2002,2000s,hip hop,58,0.837,0.885,0.694,95.313,0.8202391540666073,0.7818
Bomfunk MC's,Freestyler,2000,2000s,pop,55,0.822,0.922,0.568,163.826,0.7271469512797707,0.7817
Lily Allen,Not Fair,2009,2000s,pop,54,0.719,0.861,0.948,121.491,0.6686431465559838,0.7816
Black Eyed Peas,Pump It,2005,2000s,"hip hop, pop",75,0.648,0.931,0.744,153.649,0.8579899199525646,0.7815
OneRepublic,Love Runs Out,2014,2010s,pop,59,0.719,0.935,0.738,120.022,0.8282438976183418,0.7813
